,Governor Demand,Throttle Pressure,Main Steam Temp,Inlet Density,First Stage Pressure,Steam Flow Target,Px/Pi
73,73,3483.1991792879853,995.9072252820156,4.832673464591171,2123.8947048251316,3921.536435991941,0.6097540208020161
74,74,3482.867846703346,995.9526484431926,4.831816785457044,2151.6986323584306,3972.942216066129,0.6177950835530803
75,75,3482.5365141187067,995.9980716043696,4.830960295865836,2179.5025598917296,4024.347996140317,0.6258376763763168
76,76,3482.2051815340674,996.0434947655466,4.830103995728117,2207.3064874250285,4075.7537762145043,0.6338817997084857
77,77,3481.873848949428,996.0889179267235,4.829247884954532,2235.110414958327,4127.159556288692,0.6419274539865131
78,78,3481.5425163647888,996.1343410879006,4.828391963455786,2262.914342491626,4178.56533636288,0.649974639647492
79,79,3481.2111837801494,996.1797642490776,4.827536231142644,2290.718270024925,4229.971116437068,0.6580233571286814
80,80,3480.87985119551,996.2251874102545,4.826680687925927,2318.5221975582235,4281.376896511256,0.6660736068675067
81,81,3480.548518610871,996.2706105714316,4.825825333716528,2346.3261250915225,4332.782676585444,0.6741253893015604
82,82,3480.217186026231,996.3160337326085,4.824970168425399,2374.130052624821,4384.188456659633,0.6821787048686009
83,83,3479.885853441592,996.3614568937855,4.824115191963551,2401.93398015812,4435.59423673382,0.6902335540065538
84,84,3479.554520856953,996.4068800549625,4.823260404242051,2429.737907691419,4487.000016808008,0.6982899371535116
85,85,3479.2231882723136,996.4523032161395,4.822405805172038,2457.5418352247175,4538.405796882196,0.7063478547477332
86,86,3478.8918556876743,996.4977263773166,4.821551394664711,2485.3457627580165,4589.811576956384,0.714407307227645
87,87,3478.560523103035,996.5431495384935,4.820697172631318,2513.149690291315,4641.217357030572,0.72246829503184
88,88,3478.229190518395,996.5885726996705,4.81984313898319,2540.953617824614,4692.62313710476,0.7305308185990786
